lower,idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
one,11926,one,w^n,18,17,1,17,1,one,1,3,339,4,90,40,156684,742881,177330,993546809,4,1
oat,11777,oat,ot,25,14,11,16,9,oat,1,2,435,4,81,41,27,373,86,769187,3,1
boy,2119,boy,bO,13,11,2,5,8,boy,1,2,329,4,87,46,27021,38579,8028,58670588,3,1
broad,2215,broad,brcd,13,11,2,2,11,broad,1,4,400,6,34,9,751,13232,1515,21370804,5,1
field,6383,field,fild,9,6,3,6,3,field,1,4,511,6,48,11,3580,47647,4638,135293038,5,1
ice,8217,ice,Ys,16,7,9,11,5,ice,1,2,439,4,99,26,4057,21972,2530,41717036,3,1
risk,14857,risk,rIsk,9,5,4,5,4,risk,1,4,386,5,49,26,2501,43624,6650,91491902,5,1
turbine,17845,turbine,tRb|n,4,3,1,2,2,turbine,2,5,549,8,5,3,46,1409,39,3235102,6,1
dearth,4486,dearth,dRT,10,9,1,7,3,dearth,1,3,459,5,33,4,5,516,15,372449,4,1
mosque,11178,mosque,mask,4,3,1,2,2,mosque,1,4,461,7,19,2,60,2153,695,1969984,5,1
glue,7239,glue,glu,11,7,4,8,3,glue,1,3,389,5,38,12,300,2071,140,4435595,4,1
pillow,13004,pillow,pIlo,5,4,1,3,2,pillow,2,4,395,7,43,5,581,2759,255,6272168,5,1
clout,3326,clout,klWt,7,6,1,3,4,clout,1,4,609,6,25,6,48,1266,275,639706,5,1
lard,9665,lard,lard,15,14,1,11,4,lard,1,4,589,5,41,25,86,277,16,423971,5,1
vial,18505,vial,vYL,10,6,4,1,9,vial,2,4,389,5,19,22,66,496,46,1014511,5,1
does,5146,does,d^z,16,15,1,6,10,does,1,3,415,5,83,39,34002,203088,71883,314032845,4,1
brand,2141,brand,br@nd,8,3,5,4,4,brand,1,5,450,6,32,24,712,9638,2300,82812478,6,1
fall,6184,fall,fcl,26,23,3,21,5,fall,1,3,419,5,107,28,6044,37459,5804,65510611,4,1
sickle,15651,sickle,sIkL,13,11,2,8,5,sickle,2,5,443,7,61,13,28,532,92,997530,6,1
ledge,9766,ledge,lEJ,18,13,5,10,8,ledge,1,3,449,6,50,13,179,1136,49,1157873,4,1
sit,15735,sit,sIt,36,28,8,25,11,sit,1,3,444,4,88,45,15879,24780,6613,19803302,4,1
strip,16484,strip,strIp,6,5,1,2,4,strip,1,5,445,6,22,6,800,6175,1088,18714501,6,1
word,19159,word,wRd,19,18,1,12,7,word,1,3,358,5,66,22,12013,45192,11243,98677453,4,1
braille,2134,braille,brel,14,11,3,5,9,braille,1,4,325,8,45,1,28,2674,32,1741143,5,1
sung,16688,sung,s^G,20,16,4,13,7,sung,1,3,619,5,48,30,178,1566,297,3242040,4,1
assign,1156,assign,xsYn,5,4,1,3,2,assign,2,4,688,7,10,1,138,1157,98,7009078,5,1
thieves,17258,thieves,Tivz,5,3,2,4,1,thieves,1,4,475,8,23,3,464,1435,307,2201031,4,1
if,8256,if,If,13,10,3,5,8,if,1,2,375,3,46,26,180610,589059,179701,1134988791,3,1
visor,18625,visor,vYzX,6,5,1,4,2,visor,2,4,559,6,34,6,30,398,16,1851832,5,1
punch,13948,punch,p^nC,8,7,1,6,2,punch,1,4,370,6,14,8,1514,3872,631,6873557,5,1
willow,19048,willow,wIlo,8,6,2,3,5,willow,2,4,415,7,38,6,318,1776,519,5211634,5,1
awake,1376,awake,xwek,4,2,2,2,2,awake,2,4,499,6,6,4,1362,3759,384,3233171,5,1
aloud,550,aloud,xlWd,5,3,2,2,3,aloud,2,4,545,4,12,3,94,2451,83,3743858,4,1
chancel,2920,chancel,C@nsL,6,3,3,2,4,chancel,2,6,550,8,11,8,0,37,0,197855,7,1
craze,4140,craze,krez,11,9,2,5,6,craze,1,4,539,6,81,11,52,590,85,967820,5,1
lawn,9718,lawn,lcn,19,16,3,13,6,lawn,1,3,480,5,99,16,630,5269,619,10551602,4,1
blink,1924,blink,blIGk,6,4,2,5,1,blink,1,5,429,6,24,15,258,1297,168,5265420,6,1
addle,232,addle,@dL,8,5,3,5,3,addle,2,4,529,6,34,6,8,24,0,21363,5,1
mole,11031,mole,mol,33,28,5,22,11,mole,1,3,355,5,139,42,411,891,108,2257108,4,1
stung,16531,stung,st^G,12,8,4,5,7,stung,1,4,562,5,23,12,78,917,87,409531,5,1
mouth,11212,mouth,mWT,7,6,1,5,2,mouth,1,3,539,6,22,11,5325,22510,2107,22881577,4,1
white,18984,white,hwYt,11,7,4,3,8,white,1,3,286,6,104,25,8744,120488,26610,209878931,4,1
kick,9475,kick,kIk,28,23,5,18,10,kick,1,3,376,5,113,25,3744,7049,1273,12953188,4,1
noise,11610,noise,nOz,4,3,1,3,1,noise,1,3,432,6,50,12,1779,10040,1100,25173489,4,1
pack,12246,pack,p@k,30,27,3,19,11,pack,1,3,327,5,110,35,2235,10052,1045,52565298,4,1
atone,1228,atone,xton,5,4,1,3,2,atone,2,4,492,6,9,7,43,148,12,154979,5,1
candor,2532,candor,k@ndX,10,8,2,4,6,candor,2,5,464,5,34,6,51,561,134,371814,5,1
devise,4821,devise,dxvYz,5,4,1,1,4,devise,2,5,708,7,6,11,32,896,60,1333890,6,1
slew,15805,slew,slu,15,10,5,7,8,slew,1,3,562,4,45,15,67,739,87,1336497,4,1
fallow,6190,fallow,f@lo,12,10,2,11,1,fallow,2,4,506,7,38,14,41,269,8,411349,5,1
offense,11878,offense,xfEns,3,1,2,2,1,offense,2,5,513,8,2,1,840,6029,687,8249726,6,1
ridden,14809,ridden,rIdN,10,8,2,5,5,ridden,2,5,479,6,45,9,109,1409,121,1322007,6,1
filter,6416,filter,fIltX,3,2,1,2,1,filter,2,5,581,7,14,9,162,3128,201,54112798,6,1
rage,14177,rage,reJ,19,16,3,7,12,rage,1,3,425,5,75,41,577,4047,766,6296355,4,1
cloak,3306,cloak,klok,13,12,1,2,11,cloak,1,4,459,6,39,2,153,1190,55,1450297,5,1
range,14220,range,renJ,8,3,5,4,4,range,1,4,538,6,40,23,1161,31115,2605,128317120,5,1
quit,14116,quit,kwIt,17,12,5,5,12,quit,1,4,313,5,34,16,4595,6975,1627,10325898,5,1
girl,7174,girl,gRl,16,15,1,13,3,girl,1,3,490,5,76,9,28413,40552,8434,89157423,4,1
rogue,14895,rogue,rog,18,15,3,6,12,rogue,1,3,339,6,91,13,190,1269,286,4578158,4,1
pin,13011,pin,pIn,31,28,3,21,10,pin,1,3,364,4,114,47,835,3440,549,25098207,4,1
cat,2732,cat,k@t,35,30,5,21,14,cat,1,3,298,4,117,54,3383,10074,1207,46849873,4,1
atom,1221,atom,@tM,5,4,1,3,2,atom,2,4,351,5,14,7,140,1042,69,32778984,5,1
dusk,5378,dusk,d^sk,9,8,1,6,3,dusk,1,4,378,5,29,17,61,1927,84,1902302,5,1
wet,18908,wet,wEt,29,22,7,18,11,wet,1,3,268,4,88,32,2000,9732,760,23927395,4,1
cope,3930,cope,kop,25,23,2,16,9,cope,1,3,309,5,86,34,166,3545,507,5172385,4,1
fee,6300,fee,fi,31,21,10,19,12,fee,1,2,315,4,164,39,494,5914,555,50935535,3,1
mail,10288,mail,mel,35,31,4,24,11,mail,1,3,348,5,156,36,1879,21685,4679,310349656,4,1
bloom,1945,bloom,blum,11,7,4,8,3,bloom,1,4,425,6,35,12,281,2985,356,5457662,5,1
partial,12469,partial,parSL,3,2,1,1,2,partial,2,6,549,8,9,1,247,3921,448,14642627,7,2
seek,15364,seek,sik,31,25,6,19,12,seek,1,3,515,5,140,26,934,12361,1441,24141213,4,1
fern,6335,fern,fRn,21,19,2,14,7,fern,1,3,393,5,88,22,163,714,115,1871772,4,1
vast,18356,vast,v@st,13,10,3,10,3,vast,1,4,748,5,32,23,311,11276,1397,11921677,5,1
youth,19282,youth,yuT,7,6,1,3,4,youth,1,3,417,6,59,8,858,16926,1513,51433820,4,1
carnal,2660,carnal,karnL,5,3,2,2,3,carnal,2,6,347,6,25,6,61,203,7,550376,6,1
ten,17102,ten,tEn,27,22,5,21,6,ten,1,3,429,4,109,46,7395,27479,3708,46917465,4,1
jet,9321,jet,JEt,20,17,3,14,6,jet,1,3,350,4,74,30,721,5757,1077,16680047,4,1
opal,11943,opal,opL,5,4,1,4,1,opal,2,4,402,5,21,8,52,316,19,2488232,5,1
hum,8100,hum,h^m,25,24,1,15,10,hum,1,3,344,4,88,39,246,1205,83,3075078,4,1
hop,8013,hop,hap,20,19,1,15,5,hop,1,3,327,4,105,44,977,3542,582,22935809,4,1
razor,14289,razor,rezX,3,2,1,1,2,razor,2,4,519,6,64,6,351,1744,188,3465609,5,1
crow,4233,crow,kro,14,10,4,9,5,crow,1,3,338,5,95,24,227,1979,191,4603692,4,1
prim,13630,prim,prIm,10,7,3,4,6,prim,1,4,348,5,31,26,19,219,11,668388,5,1
fond,6628,fond,fand,12,9,3,9,3,fond,1,4,441,5,34,18,629,1832,233,3332153,5,1
wrangle,19189,wrangle,r@GgL,8,7,1,7,1,wrangle,2,6,519,8,19,5,18,115,21,116673,7,1
tan,16959,tan,t@n,25,23,2,17,8,tan,1,3,428,4,113,59,439,2512,197,9751642,4,1
chip,3074,chip,CIp,24,22,2,16,8,chip,1,3,343,5,57,17,1051,5457,926,19822862,4,1
reform,14446,reform,rIform,2,1,1,1,1,reform,2,6,557,7,2,4,184,21029,6775,22752959,7,2
prince,13645,prince,prIns,3,2,1,2,1,prince,1,5,411,7,14,5,2299,9494,2606,23979830,6,1
scare,15214,scare,skEr,11,8,3,5,6,scare,1,4,504,6,31,19,1712,2598,783,2974150,5,1
will,19044,will,wIl,34,28,6,24,10,will,1,3,308,5,134,33,108306,501986,140565,1356315700,4,1
smash,15851,smash,sm@S,4,2,2,3,1,smash,1,4,577,6,10,6,421,1210,199,3192305,5,1
shame,15525,shame,Sem,17,16,1,11,6,shame,1,3,517,6,58,16,2120,5146,972,6785654,4,1
common,3539,common,kamxn,3,1,2,1,2,common,2,5,367,7,61,2,2275,39834,4956,107843433,6,1
list,9994,list,lIst,19,16,3,10,9,list,1,4,478,5,56,33,4110,31376,5888,472615583,5,1
pan,12322,pan,p@n,31,25,6,19,12,pan,1,3,405,4,106,57,627,11476,986,21823461,4,1
lobby,10058,lobby,labi,4,3,1,3,1,lobby,2,4,420,6,50,8,647,4595,671,6887680,5,1
prop,13773,prop,prap,7,5,2,4,3,prop,1,4,254,5,29,17,188,2206,269,4259890,5,1
ray,14287,ray,re,38,19,19,22,16,ray,1,2,433,4,183,59,4966,12925,2922,32122704,3,1
ado,276,ado,xdu,4,1,3,2,2,ado,2,3,347,4,18,29,77,253,60,1581917,4,1
flint,6544,flint,flInt,5,3,2,3,2,flint,1,5,411,6,17,14,222,922,115,3231075,6,1
stick,16359,stick,stIk,18,13,5,4,14,stick,1,4,433,6,60,19,4953,11876,2438,22401369,5,1
brink,2202,brink,brIGk,8,5,3,5,3,brink,1,5,385,6,23,16,127,1557,437,1485388,6,1
cite,3210,cite,sYt,28,24,4,22,6,cite,1,3,468,5,91,19,48,1742,255,7047997,4,1
light,9910,light,lYt,35,26,9,22,13,light,1,3,362,6,96,20,8425,63737,5356,126705720,4,1
tanker,16972,tanker,t@GkX,7,4,3,5,2,tanker,2,5,432,7,22,19,100,673,204,1278916,6,1
plaid,13088,plaid,pl@d,11,9,2,4,7,plaid,1,4,414,6,33,9,82,769,54,1679093,5,1
rabble,14139,rabble,r@bL,11,10,1,6,5,rabble,2,5,312,5,49,7,54,212,25,565518,6,1
cloud,3325,cloud,klWd,7,6,1,3,4,cloud,1,4,447,6,26,8,599,6279,665,11340427,5,1
rinse,14842,rinse,rIns,5,4,1,4,1,rinse,1,4,619,5,32,10,120,1405,50,1885846,5,1
did,4878,did,dId,21,20,1,13,8,did,1,3,294,4,66,32,119410,418955,146254,275375820,4,1
mutter,11322,mutter,m^tX,15,12,3,11,4,mutter,2,4,364,7,45,19,22,344,33,387001,5,1
most,11181,most,most,13,12,1,11,2,most,1,4,540,5,39,30,17889,280072,50339,416219900,5,1
pi,12944,pi,pY,32,21,11,18,14,pi,1,2,410,3,119,53,187,1180,100,12273864,3,1
pucker,13911,pucker,p^kX,8,7,1,5,3,pucker,2,4,449,6,26,12,45,102,11,188643,4,1
cage,2428,cage,keJ,17,15,2,8,9,cage,1,3,414,5,65,26,1034,3380,379,6361342,4,1
hose,8042,hose,hoz,19,18,1,12,7,hose,1,3,496,5,143,46,411,1521,176,6909109,4,1
don,5180,don,dan,19,18,1,13,6,don,1,3,347,4,135,61,321085,12771,4419,26009351,4,1
lean,9746,lean,lin,33,30,3,19,14,lean,1,3,370,5,175,41,529,5159,428,6431983,4,1
donor,5187,donor,donX,5,4,1,3,2,donor,2,4,469,6,49,5,208,2286,464,7098950,5,1
ode,11868,ode,od,24,12,12,13,11,ode,1,2,334,4,100,34,41,355,33,1648112,3,1
shelf,15555,shelf,SElf,6,3,3,3,3,shelf,1,4,426,5,22,7,355,3801,293,11287023,5,1
tar,16989,tar,tar,20,16,4,15,5,tar,1,3,398,4,101,53,160,1560,139,6820909,4,1
whale,18911,whale,hwel,7,4,3,3,4,whale,1,4,469,6,20,16,574,2671,306,5928815,5,1
tally,16946,tally,t@li,13,12,1,7,6,tally,2,4,406,6,75,23,178,983,216,1812605,5,1
tooth,17480,tooth,tuT,14,10,4,5,9,tooth,1,3,429,6,47,9,692,2027,278,5551049,4,1
these,17245,these,Diz,9,7,2,8,1,these,1,3,469,6,107,7,46104,335492,92666,541021418,4,1
prose,13806,prose,proz,9,5,4,3,6,prose,1,4,551,6,50,17,48,1610,59,3090254,5,1
kink,9502,kink,kIGk,15,11,4,12,3,kink,1,4,363,5,55,25,34,98,9,566327,5,1
chafe,2894,chafe,Cef,7,6,1,4,3,chafe,1,3,469,6,17,10,13,130,6,123596,4,1
hit,7932,hit,hIt,33,29,4,22,11,hit,1,3,403,4,88,38,14025,42110,11295,53180493,4,1
dug,5337,dug,d^g,22,21,1,13,9,dug,1,3,469,4,60,31,455,3189,427,1925921,4,1
chrome,3133,chrome,krom,11,7,4,3,8,chrome,1,4,481,6,51,0,65,883,31,9330251,5,1
chronic,3137,chronic,kranIk,3,1,2,2,1,chronic,2,6,431,8,9,1,252,6034,578,13653202,7,1
howl,8081,howl,hWl,15,13,2,13,2,howl,1,3,376,5,82,13,105,794,60,835214,4,1
receipt,14337,receipt,rIsit,5,4,1,1,4,receipt,2,5,442,8,10,2,379,1024,151,14513169,6,1
fray,6778,fray,fre,18,10,8,10,8,fray,1,3,392,5,65,21,48,834,130,911045,4,1
spa,16038,spa,spa,6,3,3,1,5,spa,1,3,511,4,21,16,239,2418,160,31723651,4,1
stroll,16494,stroll,strol,6,4,2,2,4,stroll,1,5,576,7,21,8,211,1337,66,1693118,6,1
blood,1942,blood,bl^d,7,6,1,2,5,blood,1,4,369,6,20,8,9492,36787,5666,61356375,5,1
jelly,9310,jelly,JEli,5,4,1,3,2,jelly,2,4,381,6,88,10,363,1635,176,3699680,5,1
pen,12641,pen,pEn,29,25,4,21,8,pen,1,3,332,4,113,40,1261,4424,425,16375579,4,1
torn,17502,torn,torn,16,14,2,9,7,torn,1,4,347,5,54,29,553,4274,563,3571832,5,1
paid,12266,paid,ped,22,18,4,13,9,paid,1,3,529,4,82,19,4369,25590,5940,60295896,4,1
brush,2257,brush,br^S,5,4,1,4,1,brush,1,4,418,6,33,16,722,6823,548,10018684,5,1
elect,5512,elect,xlEkt,4,1,3,3,1,elect,2,5,597,6,9,4,72,4043,2360,5748899,6,1
spot,16177,spot,spat,13,10,3,5,8,spot,1,4,542,5,33,14,3140,17227,2137,26758818,5,1
keep,9457,keep,kip,21,19,2,18,3,keep,1,3,335,5,109,19,35846,85894,21749,119614141,4,1
shear,15543,shear,SIr,26,24,2,21,5,shear,1,3,419,6,88,18,21,656,57,2887491,4,1
modify,11009,modify,madxfY,3,2,1,2,1,modify,3,6,535,7,3,1,50,3008,163,21717358,7,2
pry,13883,pry,prY,17,9,8,8,9,pry,1,3,414,4,48,23,210,604,50,437884,4,1
guide,7493,guide,gYd,18,16,2,15,3,guide,1,3,344,6,78,13,910,14535,1086,213384707,4,1
liar,9864,liar,lYX,18,13,5,5,13,liar,2,3,375,5,91,13,1792,1476,579,1820994,4,1
gent,7092,gent,JEnt,17,14,3,12,5,gent,1,4,391,5,57,32,82,175,31,1074241,5,1
felon,6316,felon,fEl|n,3,2,1,2,1,felon,2,5,565,6,52,8,128,399,133,392714,6,1
fool,6635,fool,ful,18,17,1,17,1,fool,1,3,462,5,88,16,4556,4403,584,7569582,4,1
warm,18805,warm,worm,11,8,3,4,7,warm,1,4,458,5,31,18,2659,19131,1698,22647084,5,1
aim,437,aim,em,21,11,10,13,8,aim,1,2,397,4,88,35,758,6116,618,28955618,3,1
survey,16766,survey,sRve,3,2,1,1,2,survey,2,4,509,7,24,7,227,20475,1420,62995429,5,1
goody,7292,goody,gUdi,3,1,2,1,2,goody,2,4,399,6,20,20,181,281,57,733518,5,1
powder,13428,powder,pWdX,2,1,1,1,1,powder,2,4,379,7,16,8,818,6430,362,12628035,5,1
polite,13236,polite,pxlYt,3,1,2,2,1,polite,2,5,433,7,6,7,711,2574,347,2171712,6,1
paddy,12256,paddy,p@di,7,6,1,3,4,paddy,2,4,438,6,31,11,134,503,78,1668962,5,1
rare,14240,rare,rEr,22,20,2,17,5,rare,1,3,352,5,122,30,1087,12194,1902,29730256,4,1
sock,15934,sock,sak,26,22,4,19,7,sock,1,3,530,5,126,28,458,951,138,3748989,4,1
county,4063,county,kWnti,3,2,1,1,2,county,2,5,476,7,11,4,1722,36919,5855,227576453,6,1
patent,12529,patent,p@tNt,3,1,2,1,2,patent,2,6,562,7,10,5,126,2950,286,21613489,7,1
patriarchal,12548,patriarchal,petriarkL,2,1,1,1,1,patriarchal,4,10,674,11,2,1,14,856,22,434296,10,2
temper,17084,temper,tEmpX,5,4,1,1,4,temper,2,5,343,7,15,12,582,1808,262,1717493,6,1
face,6149,face,fes,21,18,3,12,9,face,1,3,525,5,72,29,14747,87751,12447,82818242,4,1
ton,17461,ton,t^n,28,25,3,20,8,ton,1,3,328,4,102,61,382,2803,473,8413255,4,1
wives,19117,wives,wYvz,5,3,2,3,2,wives,1,4,436,6,38,19,787,4554,849,6031432,3,1
cling,3298,cling,klIG,14,8,6,7,7,cling,1,4,342,6,57,13,128,878,132,946281,5,1
peak,12586,peak,pik,31,25,6,20,11,peak,1,3,350,5,117,22,303,7313,573,25381726,4,1
salary,15085,salary,s@lXi,4,3,1,3,1,salary,3,5,568,7,17,3,548,5762,824,21156261,6,1
luck,10161,luck,l^k,26,23,3,19,7,luck,1,3,356,5,94,37,7840,9427,2575,16739504,4,1
drag,5239,drag,dr@g,7,6,1,3,4,drag,1,4,417,5,21,14,1349,4424,579,9151134,5,1
gold,7274,gold,gold,15,12,3,11,4,gold,1,4,486,5,48,30,4026,20940,2324,107505207,5,1
bone,2038,bone,bon,31,26,5,21,10,bone,1,3,385,5,150,53,1329,9669,1059,17586015,4,1
latchkey,9687,latchkey,l@Cki,2,1,1,1,1,latchkey,2,5,580,6,6,0,16,73,27,44170,4,
barge,1542,barge,barJ,9,8,1,3,6,barge,1,4,496,6,43,24,198,681,81,1319916,5,1
gone,7282,gone,gcn,17,14,3,9,8,gone,1,3,370,5,73,29,15135,45028,11761,34516203,4,1
flip,6546,flip,flIp,11,9,2,3,8,flip,1,4,341,5,28,11,728,3788,965,7931190,5,1
phrase,12928,phrase,frez,13,10,3,6,7,phrase,1,4,499,7,67,4,464,6144,1377,13191958,5,1
lava,9710,lava,lavx,3,2,1,2,1,lava,2,4,372,5,23,23,176,1244,98,2472631,4,1
slice,15806,slice,slYs,8,5,3,3,5,slice,1,4,530,6,23,15,435,4111,298,4630221,5,1
sire,15729,sire,sYr,20,17,3,14,6,sire,2,3,539,5,115,37,671,341,6,1607933,4,1
dead,4473,dead,dEd,24,22,2,15,9,dead,1,3,359,5,74,22,22898,38019,7974,48400230,4,1
dolly,5163,dolly,dali,13,12,1,11,2,dolly,2,4,529,6,103,21,306,872,145,2268877,5,2
candle,2530,candle,k@ndL,11,9,2,6,5,candle,2,6,414,7,44,13,409,1978,202,10193814,7,1
is,9230,is,Iz,13,10,3,5,8,is,1,2,384,3,88,65,459663,2365648,736384,4705747796,3,1
teach,17031,teach,tiC,13,11,2,6,7,teach,1,3,360,6,69,16,3715,14813,2299,19086011,4,1
nutty,11764,nutty,n^ti,6,5,1,4,2,nutty,2,4,464,5,17,7,182,582,127,689340,4,2
slim,15812,slim,slIm,11,10,1,3,8,slim,1,4,563,5,26,20,605,2868,328,9713890,5,1
mint,10885,mint,mInt,12,10,2,7,5,mint,1,4,319,5,61,36,277,2280,206,12709532,5,1
gallery,6954,gallery,g@lXi,3,2,1,2,1,gallery,3,5,408,8,18,5,434,7955,344,165682518,6,1
mutton,11323,mutton,m^tN,4,3,1,2,2,mutton,2,5,579,5,24,10,40,157,4,389582,5,1
truth,17801,truth,truT,5,3,2,1,4,truth,1,4,400,6,22,6,9801,26432,7161,35350927,5,1
thought,17287,thought,Tct,11,9,2,9,2,thought,1,3,445,8,34,2,41232,110168,26766,81567901,4,1
leash,9755,leash,liS,16,15,1,2,14,leash,1,3,350,6,79,10,219,742,95,1310125,4,1
zone,19324,zone,zon,17,13,4,15,2,zone,1,3,609,5,71,23,1026,10083,1796,46907731,4,1
abut,97,abut,xb^t,5,4,1,1,4,abut,2,4,361,5,13,7,6,85,20,190877,5,1
errand,5819,errand,Erxnd,2,1,1,1,1,errand,2,5,509,7,18,4,204,433,30,351729,6,1
flush,6595,flush,fl^S,9,8,1,4,5,flush,1,4,436,6,21,8,478,1863,134,5625616,5,1
roof,14909,roof,ruf,13,11,2,5,8,roof,1,3,389,5,80,14,1818,8727,1142,14811067,4,1
moan,10983,moan,mon,27,24,3,19,8,moan,1,3,546,5,114,28,96,590,22,1030590,4,1
knit,9537,knit,nIt,28,27,1,22,6,knit,1,3,325,5,85,11,97,1527,177,5113070,4,1
passe,12494,passe,p@se,4,2,2,1,3,passe,2,4,659,6,13,17,14,169,34,528622,4,1
deuce,4808,deuce,dus,20,17,3,11,9,deuce,1,3,539,4,80,3,146,136,17,970434,4,1
and,704,and,@nd,12,2,10,8,4,and,1,3,519,4,50,30,682780,6911968,1512019,12997637966,4,1
debt,4500,debt,dEt,28,24,4,17,11,debt,1,3,250,5,87,12,725,14398,4802,51349877,4,1
flap,6505,flap,fl@p,10,9,1,4,6,flap,1,4,395,5,30,17,135,1434,130,2725466,5,1
gall,6949,gall,gcl,24,23,1,18,6,gall,1,3,389,5,104,40,101,606,69,1441994,4,1
rhyme,14792,rhyme,rYm,25,20,5,14,11,rhyme,1,3,385,6,86,7,225,742,101,1530934,4,1
booth,2060,booth,buT,12,11,1,6,6,booth,1,3,369,6,49,11,1039,3503,417,7723310,4,1
jeans,9304,jeans,Jinz,4,3,1,2,2,jeans,1,4,482,6,77,11,337,5598,514,11899652,4,2
blight,1920,blight,blYt,12,10,2,7,5,blight,1,4,332,7,28,8,29,550,27,906914,5,1
facet,6151,facet,f@s|t,4,3,1,3,1,facet,2,5,504,6,11,11,13,528,46,1223168,6,1
grate,7371,grate,gret,21,18,3,9,12,grate,1,4,326,6,45,26,52,718,29,672155,5,1
wire,19086,wire,wYr,22,19,3,13,9,wire,2,3,519,5,114,36,1403,7556,882,31120754,4,1
spar,16050,spar,spar,12,8,4,3,9,spar,1,4,569,5,33,24,36,325,18,894464,5,1
trim,17722,trim,trIm,9,8,1,4,5,trim,1,4,391,5,36,17,218,3321,160,10397657,5,1
trek,17673,trek,trEk,6,5,1,1,5,trek,1,4,376,5,32,9,229,2245,267,10691823,5,1
stain,16257,stain,sten,17,14,3,5,12,stain,1,4,539,6,49,19,316,1430,144,3512824,5,1
stop,16417,stop,stap,11,8,3,5,6,stop,1,4,427,5,40,17,36071,48253,13759,77765310,5,1
oft,11894,oft,cft,7,3,4,3,4,oft,1,3,362,4,19,19,21,663,24,1310380,4,1
triple,17732,triple,trIpL,5,2,3,3,2,triple,2,6,509,7,14,9,479,3554,487,12479150,7,1
crab,4105,crab,kr@b,10,8,2,3,7,crab,1,4,382,5,36,17,352,1915,121,3824989,5,1
repair,14585,repair,rIpEr,2,1,1,1,1,repair,2,5,559,7,3,3,450,5286,693,49514665,6,2
help,7793,help,hElp,11,8,3,3,8,help,1,4,275,5,28,16,46977,115809,27922,611083850,5,1
callow,2471,callow,k@lo,9,8,1,8,1,callow,2,4,426,7,52,9,13,101,8,186826,5,
hash,7680,hash,h@S,22,21,1,11,11,hash,1,3,470,5,78,30,180,509,81,5821495,4,1
scope,15257,scope,skop,7,5,2,3,4,scope,1,4,463,6,17,9,286,6085,467,23357027,5,1
curl,4323,curl,kRl,23,20,3,15,8,curl,1,3,334,5,127,15,120,1319,80,3659627,4,1
bard,1539,bard,bard,19,17,2,11,8,bard,1,4,364,5,72,37,41,582,34,1793654,5,1
defend,4576,defend,dxfEnd,3,2,1,2,1,defend,2,6,538,7,7,3,959,6878,2369,7362127,7,2
meal,10597,meal,mil,28,26,2,22,6,meal,1,3,338,5,157,28,1472,8183,920,12937690,4,1
sway,16802,sway,swe,9,4,5,5,4,sway,1,3,435,5,38,19,129,1344,167,1540461,4,1
all,501,all,cl,25,12,13,19,6,all,1,2,408,4,108,44,263255,696373,220486,2022464594,3,1
puck,13910,puck,p^k,27,23,4,17,10,puck,1,3,317,5,73,21,147,555,41,1553945,4,1
tenor,17123,tenor,tEnX,9,6,3,1,8,tenor,2,4,315,6,55,6,79,930,128,2361385,5,1
mister,10964,mister,mIstX,7,4,3,4,3,mister,2,5,402,7,31,20,2326,1869,440,2192815,6,1
curse,4330,curse,kRs,16,14,2,9,7,curse,1,3,519,6,88,16,929,2146,237,3982181,4,1
mean,10600,mean,min,23,21,2,17,6,mean,1,3,539,5,126,26,63443,113771,68669,80317535,4,1
mirth,10898,mirth,mRT,13,11,2,10,3,mirth,1,3,484,5,55,10,11,211,12,387672,4,1
which,18946,which,hwIC,11,9,2,4,7,which,1,4,429,6,18,2,24339,433589,78406,810525668,5,1
free,6782,free,fri,17,11,6,11,6,free,1,3,353,5,95,27,9054,68509,10631,1014165416,4,1
make,10304,make,mek,25,23,2,16,9,make,1,3,392,5,105,40,70775,229111,63967,405099240,4,1
cease,2808,cease,sis,18,16,2,6,12,cease,1,3,509,6,126,18,445,3232,1223,4082891,4,1
lynch,10210,lynch,lInC,10,7,3,9,1,lynch,1,4,446,6,38,3,257,2772,482,4920597,5,1
pace,12237,pace,pes,30,22,8,18,12,pace,1,3,467,5,74,36,488,8256,889,12251129,4,1
ashore,1115,ashore,xSor,3,2,1,2,1,ashore,2,4,498,5,8,6,317,967,202,876754,3,1
wavy,18848,wavy,wevi,4,3,1,2,2,wavy,2,4,449,4,27,9,28,537,17,630746,4,1
scout,15270,scout,skWt,10,9,1,3,7,scout,1,4,516,6,28,11,657,3061,351,6176724,5,1
beaker,1635,beaker,bikX,4,3,1,1,3,beaker,2,4,361,7,63,23,22,140,1,419744,5,1
court,4072,court,kort,17,14,3,8,9,court,1,4,400,6,81,6,5137,66292,24723,127722336,5,1
cruise,4248,cruise,kruz,8,6,2,1,7,cruise,1,4,581,7,68,6,626,5266,1349,27828163,5,1
clean,3266,clean,klin,11,8,3,6,5,clean,1,4,374,6,67,11,6183,21825,3760,45385208,5,1
sang,15125,sang,s@G,19,17,2,11,8,sang,1,3,509,5,61,44,419,3658,644,3669497,4,1
listen,9995,listen,lIsN,5,4,1,3,2,listen,2,5,416,7,51,7,27784,21800,8901,43258456,6,1
